Synonym,Name,OrphaCode
CAT,Common arterial trunk,3384
Common aorticopulmonary trunk,Common arterial trunk,3384
Truncus arteriosus,Common arterial trunk,3384
bv-FTD,Behavioral variant of frontotemporal dementia,275864
Anti-K HDN,Hemolytic disease of the newborn with Kell alloimmunization,275944
Maternal anti-Kell alloimmunization,Hemolytic disease of the newborn with Kell alloimmunization,275944
Hairy throat syndrome,Isolated anterior cervical hypertrichosis,3387
Tsukahara-Kajii syndrome,Isolated anterior cervical hypertrichosis,3387
HDFN,Hemolytic disease due to fetomaternal alloimmunization,275938
Hemolytic disease of the fetus and newborn,Hemolytic disease due to fetomaternal alloimmunization,275938
PH due to lung disease and/or hypoxia,Pulmonary hypertension owing to lung disease and/or hypoxia,275837
PH owing to lung disease and/or hypoxia,Pulmonary hypertension owing to lung disease and/or hypoxia,275837
Pulmonary hypertension due to lung disease and/or hypoxia,Pulmonary hypertension owing to lung disease and/or hypoxia,275837
Mosaic trisomy chromosome 2,Mosaic trisomy 2,1723
Trisomy 2 mosaicism,Mosaic trisomy 2,1723
PAH associated with chronic hemolytic anemia,Pulmonary arterial hypertension associated with chronic hemolytic anemia,275828
Mosaic trisomy chromosome 20,Mosaic trisomy 20,1724
Trisomy 20 mosaicism,Mosaic trisomy 20,1724
Mosaic trisomy chromosome 7,Mosaic trisomy 7,1747
Trisomy 7 mosaicism,Mosaic trisomy 7,1747
PH with unclear multifactorial mechanism,Pulmonary hypertension with unclear multifactorial mechanism,275844
Spellacy-Gibbs-Watts syndrome,"Connective tissue dysplasia, Spellacy type",3333
Genetic mesenchymal tumor,Genetic soft tissue tumor,271832
Hypoplastic tibia-polydactyly syndrome,Hypoplastic tibiae-postaxial polydactyly syndrome,3332
Werner mesomelic syndrome,Hypoplastic tibiae-postaxial polydactyly syndrome,3332
Aplasia of tibia with split-hand/split-foot deformity,Tibial aplasia-ectrodactyly syndrome,3329
SHFLD syndrome,Tibial aplasia-ectrodactyly syndrome,3329
SHFM associated with aplasia of long bones,Tibial aplasia-ectrodactyly syndrome,3329
Split hand/foot malformation with long bone deficiency,Tibial aplasia-ectrodactyly syndrome,3329
Split-hand/foot malformation associated with aplasia of long bones,Tibial aplasia-ectrodactyly syndrome,3329
TH-SHFM,Tibial aplasia-ectrodactyly syndrome,3329
Tibial hemimelia with split hand/foot malformation,Tibial aplasia-ectrodactyly syndrome,3329
Tibial hemimelia-ectrodactyly syndrome,Tibial aplasia-ectrodactyly syndrome,3329
Holmes-Collins syndrome,Absent tibia-polydactyly-arachnoid cyst syndrome,3328
Cutler-Bass-Romshe syndrome,Thyrocerebrorenal syndrome,3327
Thrombocytopenia-Robin sequence syndrome,Braddock-Carey syndrome,3323
Progressive pancytopenia-immunodeficiency-cerebellar hypoplasia syndrome,Hoyeraal-Hreidarsson syndrome,3322
Barnes syndrome,Thoracolaryngopelvic dysplasia,3317
Potter sequence-cleft lip/palate-cardiopathy syndrome,Thomas syndrome,3316
Aseptic necrosis of phalangeal epiphyses,"Thiemann disease, familial form",3314
Osteochondrosis of phalangeal epiphyses,"Thiemann disease, familial form",3314
OBSOLETE: Thiele syndrome,OBSOLETE: Intellectual disability-microcephaly-unusual facies syndrome,3313
Trichoodontoonychial dysplasia with bone deficiency in frontoparietal region,Trichoodontoonychial dysplasia,3355
CRASH syndrome,L1 syndrome,275543
Corpus callosum hypoplasia-retardation-adducted thumbs-spasticity-hydrocephalus syndrome,L1 syndrome,275543
L1CAM syndrome,L1 syndrome,275543
Pinheiro-Freire Maia-Miranda syndrome,Trichodermodysplasia-dental alterations syndrome,3353
OBSOLETE: Alves-dos Santos-Castelo syndrome,OBSOLETE: Tricho-oculo-dermo-vertebral syndrome,3354
OBSOLETE: Ectodermal dysplasia-cataracts-kyphoscoliosis syndrome,OBSOLETE: Tricho-oculo-dermo-vertebral syndrome,3354
DALD,Dianzani autoimmune lymphoproliferative disease,275523
Kersey syndrome,Trichodental syndrome,3351
ALPS-recurrent viral infections due to CASP8 deficiency,Autoimmune lymphoproliferative syndrome-recurrent viral infections due to CASP8 deficiency,275517
Autoimmune lymphoproliferative syndrome-recurrent viral infections due to Caspase 8 deficiency,Autoimmune lymphoproliferative syndrome-recurrent viral infections due to CASP8 deficiency,275517
CEDS,Autoimmune lymphoproliferative syndrome-recurrent viral infections due to CASP8 deficiency,275517
Caspase 8 deficiency syndrome,Autoimmune lymphoproliferative syndrome-recurrent viral infections due to CASP8 deficiency,275517
TDO syndrome,Tricho-dento-osseous syndrome,3352
Optic atrophy-ophthalmoplegia-ptosis-deafness-myopathy syndrome,Treft-Sanborn-Carey syndrome,3349
Optic atrophy-ophthalmoplegia-ptosis-hearing loss-myopathy syndrome,Treft-Sanborn-Carey syndrome,3349
Neuhauser-Daly-Magnelli syndrome,Tremor-nystagmus-duodenal ulcer syndrome,3350
Anterior bowing of legs with dwarfism,Weismann-Netter syndrome,3344
Toxopachyosteose diaphysaire tibio-peroniere,Weismann-Netter syndrome,3344
WNS,Weismann-Netter syndrome,3344
Weismann-Netter-Stuhl syndrome,Weismann-Netter syndrome,3344
Congenital tracheobronchomegaly,Mounier-Kühn syndrome,3347
Idiopathic tracheobronchomegaly,Mounier-Kühn syndrome,3347
Tracheobronchomegaly,Mounier-Kühn syndrome,3347
ATS,Arterial tortuosity syndrome,3342
Aplasia cutis congenita-epibulbar dermoids syndrome,Oculoectodermal syndrome,3339
ATTRv amyloidosis,Hereditary ATTR amyloidosis,271861
Familial TTR-related amyloidosis,Hereditary ATTR amyloidosis,271861
Familial transthyretin-related amyloidosis,Hereditary ATTR amyloidosis,271861
Hereditary TTR amyloid polyneuropathy,Hereditary ATTR amyloidosis,271861
Hereditary TTR amyloidosis,Hereditary ATTR amyloidosis,271861
Hereditary transthyretin amyloid polyneuropathy,Hereditary ATTR amyloidosis,271861
hATTR,Hereditary ATTR amyloidosis,271861
Corpus callosum agenesis-blepharophimosis-Robin sequence syndrome,Toriello-Carey syndrome,3338
Garcia-Lurie syndrome,XK aprosencephaly syndrome,3469
XK syndrome,XK aprosencephaly syndrome,3469
XK-aprosencephaly,XK aprosencephaly syndrome,3469
Cleidocranial dysplasia-micrognathia-absent thumbs syndrome,Yunis-Varon syndrome,3472
Azoospermia-sinopulmonary infections syndrome,Young syndrome,3471
Sinusitis-infertility syndrome,Young syndrome,3471
CAMT,Congenital amegakaryocytic thrombocytopenia,3319
Gingival fibromatosis-hepatosplenomegaly-other anomalies syndrome,Zimmermann-Laband syndrome,3473
Laband syndrome,Zimmermann-Laband syndrome,3473
WTS,Wilson-Turner syndrome,3459
X-linked intellectual disability-gynecomastia-obesity syndrome,Wilson-Turner syndrome,3459
Winchester syndrome,Torg-Winchester syndrome,3460
Diabetes-hypogonadism-deafness-intellectual disability syndrome,Woodhouse-Sakati syndrome,3464
Diabetes-hypogonadism-hearing loss-intellectual disability syndrome,Woodhouse-Sakati syndrome,3464
Genetic brain malformation,Genetic cerebral malformation,269553
Congenital suprabulbar paresis,Worster-Drought syndrome,3465
Genetic syndrome with a CNS malformation as major feature,Genetic syndrome with a central nervous system malformation as a major feature,269564
Oroacral syndrome,Oromandibular-limb hypogenesis syndrome,2749
Marashi-Gorlin syndrome,Radiculomegaly of canine teeth- congenital cataract,3013
Stoll-Alembik-Finck syndrome,Arthrogryposis-ectodermal dysplasia syndrome,3200
De Smet-Fabry-Fryns syndrome,Symbrachydactyly of hands and feet,1570
Acute febrile neutrophilic dermatosis,Sweet syndrome,3243
AFND,Acromelic frontonasal dysplasia,1827
Acromelic frontonasal dysostosis,Acromelic frontonasal dysplasia,1827
Toriello syndrome,Acromelic frontonasal dysplasia,1827
FCD type Ib,Isolated focal cortical dysplasia type Ib,268980
FCD type Ic,Isolated focal cortical dysplasia type Ic,268987
Hypogonadism-gynecomastia-X-linked intellectual disability syndrome,Vasquez-Hurst-Sotos syndrome,3423
FCD type Ia,Isolated focal cortical dysplasia type Ia,268973
FCD type IIb,Isolated focal cortical dysplasia type IIb,269008
Viljoen-Kallis-Voges syndrome,Microcephaly-brachydactyly-kyphoscoliosis syndrome,3433
"Cortical dysplasia, Taylor type",Isolated focal cortical dysplasia type II,268994
FCD type II,Isolated focal cortical dysplasia type II,268994
Isolated focal cortical dysplasia type 2,Isolated focal cortical dysplasia type II,268994
Cleft lip-limb and heart malformations syndrome,Verloove Vanhorick-Brubakk syndrome,3429
FCD type IIa,Isolated focal cortical dysplasia type IIa,269001
Marden-Walker-like syndrome,Van den Ende-Gupta syndrome,2460
VDEGS,Van den Ende-Gupta syndrome,2460
Hyperphosphatasemia tarda,Hyperostosis corticalis generalisata,3416
Van Buchem disease,Hyperostosis corticalis generalisata,3416
Midline brain malformation,Midline cerebral malformation,268926
CRV,Cerebroretinal vasculopathy,3421
Grand-Kaine-Fulling syndrome,Cerebroretinal vasculopathy,3421
FCD type I,Isolated focal cortical dysplasia type I,268961
Brain cortical dysplasia,Cerebral cortical dysplasia,268950
Pierre Robin sequence-fetal chondrodysplasia syndrome,Weissenbacher-Zweymuller syndrome,3450
Pierre Robin syndrome-fetal chondrodysplasia syndrome,Weissenbacher-Zweymuller syndrome,3450
PTCD,Pontine tegmental cap dysplasia,269229
APECED syndrome,Autoimmune polyendocrinopathy type 1,3453
APS type 1,Autoimmune polyendocrinopathy type 1,3453
APS1,Autoimmune polyendocrinopathy type 1,3453
Autoimmune hypoparathyroidism-chronic candidiasis-Addison disease syndrome,Autoimmune polyendocrinopathy type 1,3453
Autoimmune polyendocrine syndrome type 1,Autoimmune polyendocrinopathy type 1,3453
Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy syndrome,Autoimmune polyendocrinopathy type 1,3453
Autoimmune polyglandular syndrome type 1,Autoimmune polyendocrinopathy type 1,3453
HAM syndrome,Autoimmune polyendocrinopathy type 1,3453
Hypoparathyroidism-Addison disease-mucocutaneous candidiasis syndrome,Autoimmune polyendocrinopathy type 1,3453
MEDAC syndrome,Autoimmune polyendocrinopathy type 1,3453
Multiple endocrine deficiency-Addison disease-candidiasis syndrome,Autoimmune polyendocrinopathy type 1,3453
Diffuse cerebellar malformation,Global cerebellar malformation,269224
Spherophakia-brachymorphia syndrome,Weill-Marchesani syndrome,3449
Cervicooculoacoustic syndrome,Wildervanck syndrome,3456
Congenital obstructive hydrocephalus,Congenital non-communicating hydrocephalus,269510
Foot contractures-muscle atrophy-oculomotor apraxia syndrome,Intellectual disability-developmental delay-contractures syndrome,3454
Wieacker-Wolff syndrome,Intellectual disability-developmental delay-contractures syndrome,3454
Neonatal progeroid syndrome,Wiedemann-Rautenstrauch syndrome,3455
Congenital non-obstructive hydrocephalus,Congenital communicating hydrocephalus,269505
Cholestatic jaundice-renal tubular insufficiency syndrome,Biliary tract malformation-renal failure syndrome,3438
Lutz-Richner-Landolt syndrome,Biliary tract malformation-renal failure syndrome,3438
MCOPS8,MMEP syndrome,3434
Microcephaly-microphthalmia-ectrodactyly of lower limbs-prognathism syndrome,MMEP syndrome,3434
Syndromic microphthalmia type 8,MMEP syndrome,3434
Viljoen-Smart syndrome,MMEP syndrome,3434
AIP type 2,Autoimmune pancreatitis type 2,280315
Duct-centric pancreatitis,Autoimmune pancreatitis type 2,280315
High scapula,Sprengel deformity,3181
AIP type 1,Autoimmune pancreatitis type 1,280302
IgG4-related pancreatitis,Autoimmune pancreatitis type 1,280302
Lymphoplasmacytic sclerosing pancreatitis,Autoimmune pancreatitis type 1,280302
Alpha-dystroglycan-related LGMD R16,Alpha-dystroglycan-related limb-girdle muscular dystrophy R16,280333
Autosomal recessive limb-girdle muscular dystrophy type 2P,Alpha-dystroglycan-related limb-girdle muscular dystrophy R16,280333
LGMD type 2P,Alpha-dystroglycan-related limb-girdle muscular dystrophy R16,280333
LGMD2P,Alpha-dystroglycan-related limb-girdle muscular dystrophy R16,280333
Limb-girdle muscular dystrophy type 2P,Alpha-dystroglycan-related limb-girdle muscular dystrophy R16,280333
12p13.33 microdeletion syndrome,Distal deletion 12p,280325
Del(12)(p13.33),Distal deletion 12p,280325
Distal monosomy 12p,Distal deletion 12p,280325
Mitochondrial HSP60 chaperonopathy,Pelizaeus-Merzbacher-like disease due to HSPD1 mutation,280288
CDO syndrome,Corneodermatoosseous syndrome,3194
Stern-Lubinsky-Durrie syndrome,Corneodermatoosseous syndrome,3194
Congenital stiff man syndrome,Hereditary hyperekplexia,3197
Familial startle disease,Hereditary hyperekplexia,3197
Hereditary hyperexplexia,Hereditary hyperekplexia,3197
Kok disease,Hereditary hyperekplexia,3197
Stiff baby syndrome,Hereditary hyperekplexia,3197
Steinfeld syndrome,Holoprosencephaly-radial heart renal anomalies syndrome,3186
Onat syndrome,Subaortic stenosis-short stature syndrome,3191
SVAS,Supravalvular aortic stenosis,3193
FPLD4,PLIN1-related familial partial lipodystrophy,280356
PLIN1-related FPLD,PLIN1-related familial partial lipodystrophy,280356
Warburg-Thomsen syndrome,"Deaf blind hypopigmentation syndrome, Yemenite type",3214
Yemenite deaf-blind hypopigmentation syndrome,"Deaf blind hypopigmentation syndrome, Yemenite type",3214
Familial prion disease,Inherited human prion disease,280400
Genetic human prion disease,Inherited human prion disease,280400
Jensen syndrome,Deafness-opticoacoustic nerve atrophy-dementia syndrome,3213
hearing loss-opticoacoustic nerve atrophy-dementia syndrome,Deafness-opticoacoustic nerve atrophy-dementia syndrome,3213
Familial steroid-resistant nephrotic syndrome with sensorineural hearing loss,Familial steroid-resistant nephrotic syndrome with sensorineural deafness,280406
OBSOLETE: Davenport-Donlan syndrome,OBSOLETE: Deafness-white hair-contractures-papillomas syndrome,3215
Stoll-Kieny-Dott syndrome,Ventricular extrasystoles with syncopal episodes-perodactyly-Robin sequence syndrome,3201
IDMDC,Recessive intellectual disability-motor dysfunction-multiple joint contractures syndrome,280384
Autosomal dominant optic atrophy and congenital hearing loss,Autosomal dominant optic atrophy and congenital deafness,3212
Konigsmark-Knox-Hussels syndrome,Autosomal dominant optic atrophy and congenital deafness,3212
NGPS,Nestor-Guillermo progeria syndrome,280576
Hearing loss-enamel hypoplasia-nail defects syndrome,Deafness-enamel hypoplasia-nail defects syndrome,3220
Heimler syndrome,Deafness-enamel hypoplasia-nail defects syndrome,3220
Deafness-skeletal dysplasia-coarse face with full lips syndrome,Fountain syndrome,3219
Deafness-skeletal dysplasia-lip granuloma syndrome,Fountain syndrome,3219
Hearing loss-skeletal dysplasia-coarse face with full lips syndrome,Fountain syndrome,3219
Hearing loss-skeletal dysplasia-lip granuloma syndrome,Fountain syndrome,3219
PRPP synthetase superactivity,Phosphoribosylpyrophosphate synthetase superactivity,3222
PRPS1 superactivity,Phosphoribosylpyrophosphate synthetase superactivity,3222
gPAPP deficiency,"Chondrodysplasia with joint dislocations, gPAPP type",280586
Deafness-thyroid hormone resistance syndrome,Generalized resistance to thyroid hormone,3221
Hearing loss-thyroid hormone resistance syndrome,Generalized resistance to thyroid hormone,3221
Refetoff syndrome,Generalized resistance to thyroid hormone,3221
Groll-Hirschowitz syndrome,Deafness-small bowel diverticulosis-neuropathy syndrome,3217
Hearing loss-small bowel diverticulosis-neuropathy syndrome,Deafness-small bowel diverticulosis-neuropathy syndrome,3217
WABS,Warsaw breakage syndrome,280558
Conductive hearing loss-malformed external ear syndrome,Conductive deafness-malformed external ear syndrome,3216
Mengel-Konigsmark syndrome,Conductive deafness-malformed external ear syndrome,3216
Chitty-Hall-Baraitser syndrome,Deafness-epiphyseal dysplasia-short stature syndrome,3218
Hearing loss-epiphyseal dysplasia-short stature syndrome,Deafness-epiphyseal dysplasia-short stature syndrome,3218
OBSOLETE: Crescentic glomerulonephritis,OBSOLETE: Rapidly progressive glomerulonephritis,280569
OBSOLETE: RPGN,OBSOLETE: Rapidly progressive glomerulonephritis,280569
AT V1,Nijmegen breakage syndrome,647
"Ataxia-telangiectasia, variant 1",Nijmegen breakage syndrome,647
Berlin breakage syndrome,Nijmegen breakage syndrome,647
Immunodeficiency-microcephaly-chromosomal instability syndrome,Nijmegen breakage syndrome,647
Microcephaly-immunodeficiency-lymphoid malignancy syndrome,Nijmegen breakage syndrome,647
NBS,Nijmegen breakage syndrome,647
Seemanova syndrome type 2,Nijmegen breakage syndrome,647
POIS,Postorgasmic illness syndrome,279947
Cortical hyperostosis-syndactyly syndrome,Sclerosteosis,3152
SCID due to LCK deficiency,Severe combined immunodeficiency due to LCK deficiency,280142
SCID due to lymphocyte-specific protein tyrosine kinase deficiency,Severe combined immunodeficiency due to LCK deficiency,280142
Severe combined immunodeficiency due to lymphocyte-specific protein tyrosine kinase deficiency,Severe combined immunodeficiency due to LCK deficiency,280142
Brachydactyly-symphalangism syndrome,Sillence syndrome,3168
C3 deficiency,Complement component 3 deficiency,280133
Lipodystrophy-Rieger anomaly-diabetes syndrome,SHORT syndrome,3163
Rieger anomaly-partial lipodystrophy syndrome,SHORT syndrome,3163
NON RARE IN EUROPE: Osteitis deformans,NON RARE IN EUROPE: Paget disease of bone,280110
Nephronophthisis with retinal dystrophy,Senior-Loken syndrome,3156
Renal dysplasia-retinal aplasia syndrome,Senior-Loken syndrome,3156
SLSN,Senior-Loken syndrome,3156
CDG syndrome type Ip,ALG11-CDG,280071
CDG-Ip,ALG11-CDG,280071
CDG1P,ALG11-CDG,280071
Carbohydrate deficient glycoprotein syndrome type Ip,ALG11-CDG,280071
Congenital disorder of glycosylation type 1p,ALG11-CDG,280071
Congenital disorder of glycosylation type Ip,ALG11-CDG,280071
De Morsier syndrome,Septo-optic dysplasia spectrum,3157
SOD,Septo-optic dysplasia spectrum,3157
Septo-optic dysplasia,Septo-optic dysplasia spectrum,3157
Connatal PMD,"Pelizaeus-Merzbacher disease, connatal form",280210
Pelizaeus-Merzbacher disease type II,"Pelizaeus-Merzbacher disease, connatal form",280210
Severe PMD,"Pelizaeus-Merzbacher disease, connatal form",280210
Classic PMD,"Pelizaeus-Merzbacher disease, classic form",280219
"HPE, minor form",Microform holoprosencephaly,280200
HPE-L,Microform holoprosencephaly,280200
"Holoprosencephaly, minor form",Microform holoprosencephaly,280200
Holoprosencephaly-like,Microform holoprosencephaly,280200
Microform HPE,Microform holoprosencephaly,280200
Der Kaloustian-Jarudi-Khoury syndrome,Spinocerebellar degeneration-corneal dystrophy syndrome,3177
LTEC0,Laryngotracheoesophageal cleft type 0,280205
Laryngo-tracheo-esophageal cleft type 0,Laryngotracheoesophageal cleft type 0,280205
Septopreoptic HPE,Septopreoptic holoprosencephaly,280195
"Methylmalonic acidemia, TCb1R type",Methylmalonic aciduria due to transcobalamin receptor defect,280183
"Methylmalonic acidemia, TCbIR type",Methylmalonic aciduria due to transcobalamin receptor defect,280183
PMLD1,Pelizaeus-Merzbacher-like disease due to GJC2 mutation,280282
PMLD,Pelizaeus-Merzbacher-like disease,280270
PLP1 null syndrome,Null syndrome,280234
"Pelizaeus-Merzbacher disease, null syndrome",Null syndrome,280234
SPENCD,Spondyloenchondrodysplasia,1855
Spondyloenchondromatosis,Spondyloenchondrodysplasia,1855
Spondylometaphyseal dysplasia with enchondromatous changes,Spondyloenchondrodysplasia,1855
Transitional PMD,"Pelizaeus-Merzbacher disease, transitional form",280224
Autosomal dominant spondylocostal dysplasia,Autosomal dominant spondylocostal dysostosis,1797
Autosomal dominant hyperinsulinemic hypoglycemia due to Kir6.2 deficiency,Autosomal dominant hyperinsulinism due to Kir6.2 deficiency,276580
Dominant KATP hyperinsulinism due to Kir6.2 deficiency,Autosomal dominant hyperinsulinism due to Kir6.2 deficiency,276580
Cenani syndactyly,Cenani-Lenz syndrome,3258
Cenani-Lenz syndactyly,Cenani-Lenz syndrome,3258
Syndactyly type 7,Cenani-Lenz syndrome,3258
Autosomal dominant hyperinsulinemic hypoglycemia due to SUR1 deficiency,Autosomal dominant hyperinsulinism due to SUR1 deficiency,276575
Syngnathia-multiple anomalies syndrome,Dobrow syndrome,3262
"Hyperinsulinemic hypoglycemia due to SUR1 deficiency, diazoxide-resistant focal form",Diazoxide-resistant focal hyperinsulinism due to SUR1 deficiency,276598
Diazoxide-resistant hyperinsulinemic hypoglycemia,Diazoxide-resistant hyperinsulinism,276585
NIPHS,Non-insulinoma pancreatogenous hypoglycemia syndrome,276608
Isolated congenital humeroradial fusion,Isolated humero-radial synostosis,3265
"Hyperinsulinemic hypoglycemia due to Kir6.2 deficiency, diazoxide-resistant focal form",Diazoxide-resistant focal hyperinsulinism due to Kir6.2 deficiency,276603
Isolated congenital humero-radioulnar fusion,Isolated humero-radio-ulnar synostosis,3266
Giuffré-Tsukahara syndrome,Radioulnar synostosis-microcephaly-scoliosis syndrome,3268
Tsukahara syndrome,Radioulnar synostosis-microcephaly-scoliosis syndrome,3268
Der Kaloustian-McIntosh-Silver syndrome,Radioulnar synostosis-developmental delay-hypotonia syndrome,3270
Autoinflammatory granulomatosis of childhood,Granulomatous arthritis of childhood,3274
"Granulomatous inflammatory arthritis, dermatitis, and uveitis",Granulomatous arthritis of childhood,3274
Granulomatous synovitis-uveitis syndrome,Granulomatous arthritis of childhood,3274
PGA,Granulomatous arthritis of childhood,3274
Pediatric granulomatous arthritis,Granulomatous arthritis of childhood,3274
Synspondylism,Spondylocarpotarsal synostosis,3275
ApoA-I deficiency,Apolipoprotein A-I deficiency,425
Familial apoA-I deficiency,Apolipoprotein A-I deficiency,425
Familial hypoalphalipoproteinemia,Apolipoprotein A-I deficiency,425
Camptodactyly-muscular hypoplasia-skeletal anomalies-abnormal palmar creases syndrome,Tel Hashomer camptodactyly syndrome,3292
Hapnes-Boman-Skeie syndrome,Extensor tendons of finger anomalies,3294
Zimmer phocomelia,Tetraamelia-multiple malformations syndrome,3301
Primary oculocerebral non-Hodgkin lymphoma,Primary oculocerebral lymphoma,279897
PIOL,Primary intraocular lymphoma,279904
Primary intraocular non-Hodgkin lymphoma,Primary intraocular lymphoma,279904
Bindewald-Ulmer-Müller syndrome,Fallot complex-intellectual disability-growth delay syndrome,3304
Fetal thalidomide syndrome,Thalidomide embryopathy,3312
IU,Intermediate uveitis,279914
Asidan,Spinocerebellar ataxia type 36,276198
SCA36,Spinocerebellar ataxia type 36,276198
Tungland-Bellman syndrome,Hearing loss-familial salivary gland insensitivity to aldosterone syndrome,3225
SCA35,Spinocerebellar ataxia type 35,276193
Emberger syndrome,Deafness-lymphedema-leukemia syndrome,3226
Hearing loss-lymphedema-leukemia syndrome,Deafness-lymphedema-leukemia syndrome,3226
Cerebellar ataxia with azoospermia and intellectual disability,Spinocerebellar ataxia type 32,276183
SCA32,Spinocerebellar ataxia type 32,276183
Hearing loss-genital anomalies-metacarpal and metatarsal synostosis syndrome,Deafness-genital anomalies-metacarpal and metatarsal synostosis syndrome,3224
Pfeiffer-Kapferer syndrome,Deafness-genital anomalies-metacarpal and metatarsal synostosis syndrome,3224
"SCA3, Joseph type",Machado-Joseph disease type 1,276238
"Spinocerebellar ataxia type 3, Joseph type",Machado-Joseph disease type 1,276238
Non-syndromic male infertility due asthenozoospermia,Non-syndromic male infertility due to sperm motility disorder,276234
"Arylsulfatase B deficiency, slowly progressing","Mucopolysaccharidosis type 6, slowly progressing",276223
"MPS6, slowly progressing","Mucopolysaccharidosis type 6, slowly progressing",276223
"MPSVI, slowly progressing","Mucopolysaccharidosis type 6, slowly progressing",276223
"Mucopolysaccharidosis type VI, slowly progressing","Mucopolysaccharidosis type 6, slowly progressing",276223
OBSOLETE: Neurosensory hearing loss-pituitary dwarfism syndrome,OBSOLETE: Neurosensory deafness-pituitary dwarfism syndrome,3228
OBSOLETE: Winkelmann-Bethge-Pfeiffer syndrome,OBSOLETE: Neurosensory deafness-pituitary dwarfism syndrome,3228
"Arylsulfatase B deficiency, rapidly progressing","Mucopolysaccharidosis type 6, rapidly progressing",276212
"MPS6, rapidly progressing","Mucopolysaccharidosis type 6, rapidly progressing",276212
"MPSVI, rapidly progressing","Mucopolysaccharidosis type 6, rapidly progressing",276212
"Mucopolysaccharidosis type VI, rapidly progressing","Mucopolysaccharidosis type 6, rapidly progressing",276212
OBSOLETE: XPB,OBSOLETE: Xeroderma pigmentosum complementation group B,276252
Hearing loss-oligodontia syndrome,Deafness-oligodontia syndrome,3230
OBSOLETE: XPA,OBSOLETE: Xeroderma pigmentosum complementation group A,276249
Hearing loss-onychodystrophy syndrome,Deafness-onychodystrophy syndrome,3231
"SCA3, Machado type",Machado-Joseph disease type 3,276244
"Spinocerebellar ataxia type 3, Machado type",Machado-Joseph disease type 3,276244
"SCA3, Thomas type",Machado-Joseph disease type 2,276241
"Spinocerebellar ataxia, Thomas type",Machado-Joseph disease type 2,276241
Progressive hearing loss with stapes fixation,Progressive deafness with stapes fixation,3235
Stapedo-vestibular ankylosis,Progressive deafness with stapes fixation,3235
Thies-Reis syndrome,Progressive deafness with stapes fixation,3235
OBSOLETE: XPF,OBSOLETE: Xeroderma pigmentosum complementation group F,276264
OBSOLETE: XPE,OBSOLETE: Xeroderma pigmentosum complementation group E,276261
Conductive hearing loss-ptosis-skeletal anomalies syndrome,Conductive deafness-ptosis-skeletal anomalies syndrome,3236
Jackson-Barr syndrome,Conductive deafness-ptosis-skeletal anomalies syndrome,3236
OBSOLETE: XPD,OBSOLETE: Xeroderma pigmentosum complementation group D,276258
Hearing loss-ear malformation-facial palsy syndrome,Deafness-ear malformation-facial palsy syndrome,3232
Sellars-Beighton syndrome,Deafness-ear malformation-facial palsy syndrome,3232
OBSOLETE: XPC,OBSOLETE: Xeroderma pigmentosum complementation group C,276255
Hearing loss-craniofacial syndrome,Deafness-craniofacial syndrome,3241
HHML,Hemihyperplasia-multiple lipomatosis syndrome,276280
FMNG,Familial multinodular goiter,276399
Familial MNG,Familial multinodular goiter,276399
Familial multinodular goiter syndrome,Familial multinodular goiter,276399
Hearing loss-vitiligo-achalasia syndrome,Deafness-vitiligo-achalasia syndrome,3239
OBSOLETE: XPG,OBSOLETE: Xeroderma pigmentosum complementation group G,276267
Forney syndrome,Cardiospondylocarpofacial syndrome,3238
Forney-Robinson-Pascoe syndrome,Cardiospondylocarpofacial syndrome,3238
Mitral regurgitation-deafness-skeletal anomalies syndrome,Cardiospondylocarpofacial syndrome,3238
Mitral regurgitation-hearing loss-skeletal anomalies syndrome,Cardiospondylocarpofacial syndrome,3238
NON RARE IN EUROPE: Analbuminemia,NON RARE IN EUROPE: Familial dysalbuminemic hyperthyroxinemia,276271
NON RARE IN EUROPE: Bisalbuminemia,NON RARE IN EUROPE: Familial dysalbuminemic hyperthyroxinemia,276271
NON RARE IN EUROPE: FDH,NON RARE IN EUROPE: Familial dysalbuminemic hyperthyroxinemia,276271
Deafness-Hermann type symphalangism syndrome,Multiple synostoses syndrome,3237
Facio-audio-symphalangism,Multiple synostoses syndrome,3237
Hearing loss-Hermann type symphalangism syndrome,Multiple synostoses syndrome,3237
Symphalangism-brachydactyly syndrome,Multiple synostoses syndrome,3237
WL syndrome,Multiple synostoses syndrome,3237
Learman syndrome,Symphalangism with multiple anomalies of hands and feet,3246
Del(10)(q22.3q23.3),10q22.3q23.3 microdeletion syndrome,276413
Deletion 10q22.3q23.3,10q22.3q23.3 microdeletion syndrome,276413
Monosomy 10q22.3q23.3,10q22.3q23.3 microdeletion syndrome,276413
X-linked intellectual disability due to PQBP1 mutations,Renpenning syndrome,3242
"X-linked intellectual disability, Renpenning type",Renpenning syndrome,3242
Green jaundice,Hyperbiliverdinemia,276405
"Symphalangism, Cushing type",Proximal symphalangism,3250
Dup(10)(q22.3q23.3),10q22.3q23.3 microduplication syndrome,276422
Trisomy 10q22.3q23.3,10q22.3q23.3 microduplication syndrome,276422
FHI,Familial hyperinsulinism,276525
Familial hyperinsulinemic hypoglycemia,Familial hyperinsulinism,276525
Type 1 syndactyly-microcephaly-intellectual disability syndrome,Filippi syndrome,3255
